STATISTIC Label,Year,Type of Animal,Region,UNIT,VALUE
Number of Livestock in June,2014,Bulls,Midland,000 Head,5.6
Number of Livestock in June,2014,Bulls,West,000 Head,9.2
Number of Livestock in June,2014,Bulls,Dublin plus Mid East,000 Head,3.8
Number of Livestock in June,2014,Bulls,Mid-West,000 Head,7.8
Number of Livestock in June,2014,Bulls,South-East,000 Head,8.2
Number of Livestock in June,2014,Bulls,South-West,000 Head,9.9
Number of Livestock in June,2014,Cattle: 2 years and over,Border,000 Head,104.1
Number of Livestock in June,2014,Cattle: 2 years and over,Midland,000 Head,126.1
Number of Livestock in June,2014,Cattle: 2 years and over,West,000 Head,131.8
Number of Livestock in June,2014,Cattle: 2 years and over,Dublin plus Mid East,000 Head,106.1
Number of Livestock in June,2014,Cattle: 2 years and over,Mid-West,000 Head,130.4
Number of Livestock in June,2014,Cattle: 2 years and over,South-East,000 Head,153.8
Number of Livestock in June,2014,Cattle: 2 years and over,South-West,000 Head,132
Number of Livestock in June,2014,Cattle: 1-2 years,Border,000 Head,220.1
Number of Livestock in June,2014,Cattle: 1-2 years,Midland,000 Head,225.4
Number of Livestock in June,2014,Cattle: 1-2 years,West,000 Head,223.3
Number of Livestock in June,2014,Cattle: 1-2 years,Dublin plus Mid East,000 Head,160.8
Number of Livestock in June,2014,Cattle: 1-2 years,Mid-West,000 Head,249.7
Number of Livestock in June,2014,Cattle: 1-2 years,South-East,000 Head,352.4
Number of Livestock in June,2014,Cattle: 1-2 years,South-West,000 Head,322.9
Number of Livestock in June,2014,Cattle: under 1 year,Border,000 Head,244.8
Number of Livestock in June,2014,Cattle: under 1 year,Midland,000 Head,210.7
Number of Livestock in June,2014,Cattle: under 1 year,West,000 Head,256.4
Number of Livestock in June,2014,Cattle: under 1 year,Dublin plus Mid East,000 Head,145.1
Number of Livestock in June,2014,Cattle: under 1 year,Mid-West,000 Head,279.8
Number of Livestock in June,2014,Cattle: under 1 year,South-East,000 Head,369.2
Number of Livestock in June,2014,Cattle: under 1 year,South-West,000 Head,372.2
