STATISTIC Label,Year,Type of Animal,Region,UNIT,VALUE
Number of Livestock in June,2006,Cattle: under 1 year,Midland,000 Head,219
Number of Livestock in June,2006,Cattle: under 1 year,West,000 Head,289.1
Number of Livestock in June,2006,Cattle: under 1 year,Dublin plus Mid East,000 Head,141.3
Number of Livestock in June,2006,Cattle: under 1 year,Mid-West,000 Head,296.9
Number of Livestock in June,2006,Cattle: under 1 year,South-East,000 Head,353.4
Number of Livestock in June,2006,Cattle: under 1 year,South-West,000 Head,384.1
Number of Livestock in June,2007,Dairy cows,Border,000 Head,105.6
Number of Livestock in June,2007,Dairy cows,Midland,000 Head,76.4
Number of Livestock in June,2007,Dairy cows,West,000 Head,54.2
Number of Livestock in June,2007,Dairy cows,Dublin plus Mid East,000 Head,78.6
Number of Livestock in June,2007,Dairy cows,Mid-West,000 Head,176.6
Number of Livestock in June,2007,Dairy cows,South-East,000 Head,233.1
Number of Livestock in June,2007,Dairy cows,South-West,000 Head,365.3
Number of Livestock in June,2007,Other cows,Border,000 Head,214.2
Number of Livestock in June,2007,Other cows,Midland,000 Head,151.6
Number of Livestock in June,2007,Other cows,West,000 Head,268.7
Number of Livestock in June,2007,Other cows,Dublin plus Mid East,000 Head,93.7
Number of Livestock in June,2007,Other cows,Mid-West,000 Head,170.5
Number of Livestock in June,2007,Other cows,South-East,000 Head,162.7
Number of Livestock in June,2007,Other cows,South-West,000 Head,145.7
Number of Livestock in June,2007,Bulls,Border,000 Head,10
Number of Livestock in June,2007,Bulls,Midland,000 Head,6.5
Number of Livestock in June,2007,Bulls,West,000 Head,9.1
Number of Livestock in June,2007,Bulls,Dublin plus Mid East,000 Head,5
Number of Livestock in June,2007,Bulls,Mid-West,000 Head,9.2
Number of Livestock in June,2007,Bulls,South-East,000 Head,9.5
Number of Livestock in June,2007,Bulls,South-West,000 Head,11.8
Number of Livestock in June,2007,Cattle: 2 years and over,Border,000 Head,105.7
Number of Livestock in June,2007,Cattle: 2 years and over,Midland,000 Head,135.3
Number of Livestock in June,2007,Cattle: 2 years and over,West,000 Head,133.5
Number of Livestock in June,2007,Cattle: 2 years and over,Dublin plus Mid East,000 Head,112.8
Number of Livestock in June,2007,Cattle: 2 years and over,Mid-West,000 Head,129.6
Number of Livestock in June,2007,Cattle: 2 years and over,South-East,000 Head,158.1
Number of Livestock in June,2007,Cattle: 2 years and over,South-West,000 Head,131.1
