"Statistic Label","Region","Type of Animal","Year","UNIT","VALUE"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 1-2 years","1997","000 Head","216.2"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 1-2 years","1998","000 Head","222.3"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 1-2 years","1999","000 Head","215.8"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 1-2 years","2000","000 Head","193.6"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 1-2 years","2001","000 Head","200.7"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 1-2 years","2002","000 Head","210.1"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 1-2 years","2003","000 Head","203.7"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: 1-2 years","2004","000 Head","205.5"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: under 1 year","1991","000 Head","248.6"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: under 1 year","1992","000 Head","239.4"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: under 1 year","1993","000 Head","242.7"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: under 1 year","1994","000 Head","242.6"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: under 1 year","1995","000 Head","245.1"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: under 1 year","1996","000 Head","261.9"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: under 1 year","1997","000 Head","274.3"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: under 1 year","1998","000 Head","277.3"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: under 1 year","1999","000 Head","263.8"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: under 1 year","2000","000 Head","255.3"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: under 1 year","2001","000 Head","260.6"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: under 1 year","2002","000 Head","256.6"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: under 1 year","2003","000 Head","256.5"
"Number of Livestock in June (1991 - 2004)","Border","Other cattle: under 1 year","2004","000 Head","245.9"
"Number of Livestock in June (1991 - 2004)","Midland","Dairy cows","1991","000 Head","86.7"
