STATISTIC Label,Year,Type of Animal,Region,UNIT,VALUE
Number of Livestock in June,2016,Other cows,Border,000 Head,183.3
Number of Livestock in June,2016,Other cows,West,000 Head,250.8
Number of Livestock in June,2016,Other cows,Mid-West,000 Head,180.2
Number of Livestock in June,2016,Other cows,South-East,000 Head,114.5
Number of Livestock in June,2016,Other cows,South-West,000 Head,131.3
Number of Livestock in June,2016,Other cows,Dublin and Mid-East,000 Head,102.1
Number of Livestock in June,2016,Other cows,Midland,000 Head,141.5
Number of Livestock in June,2016,Bulls,Border,000 Head,8.5
Number of Livestock in June,2016,Bulls,West,000 Head,9.6
Number of Livestock in June,2016,Bulls,Mid-West,000 Head,10.6
Number of Livestock in June,2016,Bulls,South-East,000 Head,6.6
Number of Livestock in June,2016,Bulls,South-West,000 Head,10.4
Number of Livestock in June,2016,Bulls,Dublin and Mid-East,000 Head,4.5
Number of Livestock in June,2016,Bulls,Midland,000 Head,6
Number of Livestock in June,2016,Cattle: 2 years and over,Border,000 Head,68.1
Number of Livestock in June,2016,Cattle: 2 years and over,West,000 Head,106.1
Number of Livestock in June,2016,Cattle: 2 years and over,Mid-West,000 Head,140.2
Number of Livestock in June,2016,Cattle: 2 years and over,South-East,000 Head,85.4
Number of Livestock in June,2016,Cattle: 2 years and over,South-West,000 Head,100.6
Number of Livestock in June,2016,Cattle: 2 years and over,Dublin and Mid-East,000 Head,95
Number of Livestock in June,2016,Cattle: 2 years and over,Midland,000 Head,101.8
Number of Livestock in June,2016,Cattle: 1-2 years,Border,000 Head,199.6
Number of Livestock in June,2016,Cattle: 1-2 years,West,000 Head,238.1
Number of Livestock in June,2016,Cattle: 1-2 years,Mid-West,000 Head,356.2
Number of Livestock in June,2016,Cattle: 1-2 years,South-East,000 Head,276.9
Number of Livestock in June,2016,Cattle: 1-2 years,South-West,000 Head,329.2
Number of Livestock in June,2016,Cattle: 1-2 years,Dublin and Mid-East,000 Head,195.5
Number of Livestock in June,2016,Cattle: 1-2 years,Midland,000 Head,244.9
Number of Livestock in June,2016,Cattle: under 1 year,Border,000 Head,250.5
Number of Livestock in June,2016,Cattle: under 1 year,West,000 Head,288.2
Number of Livestock in June,2016,Cattle: under 1 year,Mid-West,000 Head,425.8
Number of Livestock in June,2016,Cattle: under 1 year,South-East,000 Head,306.7
Number of Livestock in June,2016,Cattle: under 1 year,South-West,000 Head,419.2
Number of Livestock in June,2016,Cattle: under 1 year,Dublin and Mid-East,000 Head,189.2
Number of Livestock in June,2016,Cattle: under 1 year,Midland,000 Head,246.3
Number of Livestock in June,2017,Dairy cows,Border,000 Head,103.6
Number of Livestock in June,2017,Dairy cows,West,000 Head,60.3
Number of Livestock in June,2017,Dairy cows,Mid-West,000 Head,315.2
Number of Livestock in June,2017,Dairy cows,South-East,000 Head,254.4
Number of Livestock in June,2017,Dairy cows,South-West,000 Head,469.5
Number of Livestock in June,2017,Dairy cows,Dublin and Mid-East,000 Head,120.6
Number of Livestock in June,2017,Dairy cows,Midland,000 Head,108.9
Number of Livestock in June,2017,Other cows,Border,000 Head,180.9
Number of Livestock in June,2017,Other cows,West,000 Head,245.4
Number of Livestock in June,2017,Other cows,Mid-West,000 Head,176.9
Number of Livestock in June,2017,Other cows,South-East,000 Head,110.1
Number of Livestock in June,2017,Other cows,South-West,000 Head,127.9
Number of Livestock in June,2017,Other cows,Dublin and Mid-East,000 Head,101.2
Number of Livestock in June,2017,Other cows,Midland,000 Head,138.5
Number of Livestock in June,2017,Bulls,Border,000 Head,8.4
Number of Livestock in June,2017,Bulls,West,000 Head,9.6
Number of Livestock in June,2017,Bulls,Mid-West,000 Head,10.7
Number of Livestock in June,2017,Bulls,South-East,000 Head,6.7
Number of Livestock in June,2017,Bulls,South-West,000 Head,10.4
Number of Livestock in June,2017,Bulls,Dublin and Mid-East,000 Head,4.5
Number of Livestock in June,2017,Bulls,Midland,000 Head,6.1
Number of Livestock in June,2017,Cattle: 2 years and over,Border,000 Head,74.8
Number of Livestock in June,2017,Cattle: 2 years and over,West,000 Head,116.9
Number of Livestock in June,2017,Cattle: 2 years and over,Mid-West,000 Head,153.7
Number of Livestock in June,2017,Cattle: 2 years and over,South-East,000 Head,90.4
Number of Livestock in June,2017,Cattle: 2 years and over,South-West,000 Head,106.5
Number of Livestock in June,2017,Cattle: 2 years and over,Dublin and Mid-East,000 Head,107.3
Number of Livestock in June,2017,Cattle: 2 years and over,Midland,000 Head,112.8
Number of Livestock in June,2017,Cattle: 1-2 years,Border,000 Head,201.2
Number of Livestock in June,2017,Cattle: 1-2 years,West,000 Head,236.1
Number of Livestock in June,2017,Cattle: 1-2 years,Mid-West,000 Head,375.1
Number of Livestock in June,2017,Cattle: 1-2 years,South-East,000 Head,288
Number of Livestock in June,2017,Cattle: 1-2 years,South-West,000 Head,335.9
Number of Livestock in June,2017,Cattle: 1-2 years,Dublin and Mid-East,000 Head,205.4
Number of Livestock in June,2017,Cattle: 1-2 years,Midland,000 Head,258.5
Number of Livestock in June,2017,Cattle: under 1 year,Border,000 Head,244.9
Number of Livestock in June,2017,Cattle: under 1 year,West,000 Head,284.3
Number of Livestock in June,2017,Cattle: under 1 year,Mid-West,000 Head,429
Number of Livestock in June,2017,Cattle: under 1 year,South-East,000 Head,315.2
Number of Livestock in June,2017,Cattle: under 1 year,South-West,000 Head,414.1
Number of Livestock in June,2017,Cattle: under 1 year,Dublin and Mid-East,000 Head,190.6
Number of Livestock in June,2017,Cattle: under 1 year,Midland,000 Head,252.8
Number of Livestock in June,2018,Dairy cows,Border,000 Head,104.4
Number of Livestock in June,2018,Dairy cows,West,000 Head,62.3
Number of Livestock in June,2018,Dairy cows,Mid-West,000 Head,325.2
Number of Livestock in June,2018,Dairy cows,South-East,000 Head,269.6
Number of Livestock in June,2018,Dairy cows,South-West,000 Head,478.8
Number of Livestock in June,2018,Dairy cows,Dublin and Mid-East,000 Head,125.9
Number of Livestock in June,2018,Dairy cows,Midland,000 Head,114.6
Number of Livestock in June,2018,Other cows,Border,000 Head,173.5
Number of Livestock in June,2018,Other cows,West,000 Head,238.4
Number of Livestock in June,2018,Other cows,Mid-West,000 Head,170.7
Number of Livestock in June,2018,Other cows,South-East,000 Head,105.7
Number of Livestock in June,2018,Other cows,South-West,000 Head,124.7
Number of Livestock in June,2018,Other cows,Dublin and Mid-East,000 Head,99
Number of Livestock in June,2018,Other cows,Midland,000 Head,135.8
Number of Livestock in June,2018,Bulls,Border,000 Head,8.4
Number of Livestock in June,2018,Bulls,West,000 Head,9.5
Number of Livestock in June,2018,Bulls,Mid-West,000 Head,10.5
Number of Livestock in June,2018,Bulls,South-East,000 Head,6.7
Number of Livestock in June,2018,Bulls,South-West,000 Head,10.5
Number of Livestock in June,2018,Bulls,Dublin and Mid-East,000 Head,4.4
Number of Livestock in June,2018,Bulls,Midland,000 Head,6.2
Number of Livestock in June,2018,Cattle: 2 years and over,Border,000 Head,73.6
Number of Livestock in June,2018,Cattle: 2 years and over,West,000 Head,114.8
Number of Livestock in June,2018,Cattle: 2 years and over,Mid-West,000 Head,155.9
Number of Livestock in June,2018,Cattle: 2 years and over,South-East,000 Head,96.4
Number of Livestock in June,2018,Cattle: 2 years and over,South-West,000 Head,110.5
Number of Livestock in June,2018,Cattle: 2 years and over,Dublin and Mid-East,000 Head,111.1
Number of Livestock in June,2018,Cattle: 2 years and over,Midland,000 Head,117.7
Number of Livestock in June,2018,Cattle: 1-2 years,Border,000 Head,198
Number of Livestock in June,2018,Cattle: 1-2 years,West,000 Head,235.6
Number of Livestock in June,2018,Cattle: 1-2 years,Mid-West,000 Head,373.3
Number of Livestock in June,2018,Cattle: 1-2 years,South-East,000 Head,294.1
Number of Livestock in June,2018,Cattle: 1-2 years,South-West,000 Head,334.8
Number of Livestock in June,2018,Cattle: 1-2 years,Dublin and Mid-East,000 Head,208.1
Number of Livestock in June,2018,Cattle: 1-2 years,Midland,000 Head,261.5
Number of Livestock in June,2018,Cattle: under 1 year,Border,000 Head,239.7
Number of Livestock in June,2018,Cattle: under 1 year,West,000 Head,278
Number of Livestock in June,2018,Cattle: under 1 year,Mid-West,000 Head,415.9
Number of Livestock in June,2018,Cattle: under 1 year,South-East,000 Head,303.4
Number of Livestock in June,2018,Cattle: under 1 year,South-West,000 Head,407.9
Number of Livestock in June,2018,Cattle: under 1 year,Dublin and Mid-East,000 Head,187.5
Number of Livestock in June,2018,Cattle: under 1 year,Midland,000 Head,245.9
Number of Livestock in June,2019,Dairy cows,Border,000 Head,107.5
Number of Livestock in June,2019,Dairy cows,West,000 Head,64.7
Number of Livestock in June,2019,Dairy cows,Mid-West,000 Head,327.7
Number of Livestock in June,2019,Dairy cows,South-East,000 Head,276.6
Number of Livestock in June,2019,Dairy cows,South-West,000 Head,480.9
Number of Livestock in June,2019,Dairy cows,Dublin and Mid-East,000 Head,128.5
Number of Livestock in June,2019,Dairy cows,Midland,000 Head,118.9
Number of Livestock in June,2019,Other cows,Border,000 Head,168.2
Number of Livestock in June,2019,Other cows,West,000 Head,229.6
Number of Livestock in June,2019,Other cows,Mid-West,000 Head,162.5
Number of Livestock in June,2019,Other cows,South-East,000 Head,98.3
Number of Livestock in June,2019,Other cows,South-West,000 Head,120.8
Number of Livestock in June,2019,Other cows,Dublin and Mid-East,000 Head,92.4
Number of Livestock in June,2019,Other cows,Midland,000 Head,128
Number of Livestock in June,2019,Bulls,Border,000 Head,8.1
Number of Livestock in June,2019,Bulls,West,000 Head,9.3
Number of Livestock in June,2019,Bulls,Mid-West,000 Head,10.3
Number of Livestock in June,2019,Bulls,South-East,000 Head,6.7
Number of Livestock in June,2019,Bulls,South-West,000 Head,10.3
Number of Livestock in June,2019,Bulls,Dublin and Mid-East,000 Head,4.2
Number of Livestock in June,2019,Bulls,Midland,000 Head,5.9
Number of Livestock in June,2019,Cattle: 2 years and over,Border,000 Head,77.7
Number of Livestock in June,2019,Cattle: 2 years and over,West,000 Head,123.3
Number of Livestock in June,2019,Cattle: 2 years and over,Mid-West,000 Head,160.2
Number of Livestock in June,2019,Cattle: 2 years and over,South-East,000 Head,93.9
Number of Livestock in June,2019,Cattle: 2 years and over,South-West,000 Head,111.4
Number of Livestock in June,2019,Cattle: 2 years and over,Dublin and Mid-East,000 Head,109
Number of Livestock in June,2019,Cattle: 2 years and over,Midland,000 Head,117.8
Number of Livestock in June,2019,Cattle: 1-2 years,Border,000 Head,202.6
Number of Livestock in June,2019,Cattle: 1-2 years,West,000 Head,239.2
Number of Livestock in June,2019,Cattle: 1-2 years,Mid-West,000 Head,360.1
Number of Livestock in June,2019,Cattle: 1-2 years,South-East,000 Head,274.8
Number of Livestock in June,2019,Cattle: 1-2 years,South-West,000 Head,322.2
Number of Livestock in June,2019,Cattle: 1-2 years,Dublin and Mid-East,000 Head,198.8
Number of Livestock in June,2019,Cattle: 1-2 years,Midland,000 Head,250.2
Number of Livestock in June,2019,Cattle: under 1 year,Border,000 Head,235.4
Number of Livestock in June,2019,Cattle: under 1 year,West,000 Head,270.1
Number of Livestock in June,2019,Cattle: under 1 year,Mid-West,000 Head,404.8
Number of Livestock in June,2019,Cattle: under 1 year,South-East,000 Head,284.7
Number of Livestock in June,2019,Cattle: under 1 year,South-West,000 Head,393.2
Number of Livestock in June,2019,Cattle: under 1 year,Dublin and Mid-East,000 Head,180.2
Number of Livestock in June,2019,Cattle: under 1 year,Midland,000 Head,239.6
Number of Livestock in June,2020,Dairy cows,Border,000 Head,109.9
Number of Livestock in June,2020,Dairy cows,West,000 Head,67.3
Number of Livestock in June,2020,Dairy cows,Mid-West,000 Head,340.7
Number of Livestock in June,2020,Dairy cows,South-East,000 Head,292.7
Number of Livestock in June,2020,Dairy cows,South-West,000 Head,491.5
Number of Livestock in June,2020,Dairy cows,Dublin and Mid-East,000 Head,136.3
Number of Livestock in June,2020,Dairy cows,Midland,000 Head,129.3
Number of Livestock in June,2020,Other cows,Border,000 Head,168
Number of Livestock in June,2020,Other cows,West,000 Head,227.8
Number of Livestock in June,2020,Other cows,Mid-West,000 Head,160.2
Number of Livestock in June,2020,Other cows,South-East,000 Head,94
Number of Livestock in June,2020,Other cows,South-West,000 Head,118.8
Number of Livestock in June,2020,Other cows,Dublin and Mid-East,000 Head,89.9
Number of Livestock in June,2020,Other cows,Midland,000 Head,124.6
Number of Livestock in June,2020,Bulls,Border,000 Head,7.7
Number of Livestock in June,2020,Bulls,West,000 Head,9
Number of Livestock in June,2020,Bulls,Mid-West,000 Head,9.8
Number of Livestock in June,2020,Bulls,South-East,000 Head,6.3
Number of Livestock in June,2020,Bulls,South-West,000 Head,9.7
Number of Livestock in June,2020,Bulls,Dublin and Mid-East,000 Head,4
Number of Livestock in June,2020,Bulls,Midland,000 Head,5.7
Number of Livestock in June,2020,Cattle: 2 years and over,Border,000 Head,82.1
Number of Livestock in June,2020,Cattle: 2 years and over,West,000 Head,128.4
Number of Livestock in June,2020,Cattle: 2 years and over,Mid-West,000 Head,159
Number of Livestock in June,2020,Cattle: 2 years and over,South-East,000 Head,93.9
Number of Livestock in June,2020,Cattle: 2 years and over,South-West,000 Head,109.8
Number of Livestock in June,2020,Cattle: 2 years and over,Dublin and Mid-East,000 Head,109.8
Number of Livestock in June,2020,Cattle: 2 years and over,Midland,000 Head,115.6
Number of Livestock in June,2020,Cattle: 1-2 years,Border,000 Head,199.2
Number of Livestock in June,2020,Cattle: 1-2 years,West,000 Head,234.3
Number of Livestock in June,2020,Cattle: 1-2 years,Mid-West,000 Head,355.9
Number of Livestock in June,2020,Cattle: 1-2 years,South-East,000 Head,264.9
Number of Livestock in June,2020,Cattle: 1-2 years,South-West,000 Head,310.6
Number of Livestock in June,2020,Cattle: 1-2 years,Dublin and Mid-East,000 Head,187.5
Number of Livestock in June,2020,Cattle: 1-2 years,Midland,000 Head,243.5
Number of Livestock in June,2020,Cattle: under 1 year,Border,000 Head,249.2
Number of Livestock in June,2020,Cattle: under 1 year,West,000 Head,282.4
Number of Livestock in June,2020,Cattle: under 1 year,Mid-West,000 Head,427.3
Number of Livestock in June,2020,Cattle: under 1 year,South-East,000 Head,301.2
Number of Livestock in June,2020,Cattle: under 1 year,South-West,000 Head,414.4
Number of Livestock in June,2020,Cattle: under 1 year,Dublin and Mid-East,000 Head,191.4
Number of Livestock in June,2020,Cattle: under 1 year,Midland,000 Head,251.2
Number of Livestock in June,2021,Dairy cows,Border,000 Head,111.8
Number of Livestock in June,2021,Dairy cows,West,000 Head,69.6
Number of Livestock in June,2021,Dairy cows,Mid-West,000 Head,347.1
Number of Livestock in June,2021,Dairy cows,South-East,000 Head,301.8
Number of Livestock in June,2021,Dairy cows,South-West,000 Head,500.5
Number of Livestock in June,2021,Dairy cows,Dublin and Mid-East,000 Head,139
Number of Livestock in June,2021,Dairy cows,Midland,000 Head,134.7
Number of Livestock in June,2021,Other cows,Border,000 Head,162.1
Number of Livestock in June,2021,Other cows,West,000 Head,219.2
Number of Livestock in June,2021,Other cows,Mid-West,000 Head,155.1
Number of Livestock in June,2021,Other cows,South-East,000 Head,87.8
Number of Livestock in June,2021,Other cows,South-West,000 Head,114.3
Number of Livestock in June,2021,Other cows,Dublin and Mid-East,000 Head,84
Number of Livestock in June,2021,Other cows,Midland,000 Head,117.8
Number of Livestock in June,2021,Bulls,Border,000 Head,7.4
Number of Livestock in June,2021,Bulls,West,000 Head,8.7
Number of Livestock in June,2021,Bulls,Mid-West,000 Head,9.5
Number of Livestock in June,2021,Bulls,South-East,000 Head,6
Number of Livestock in June,2021,Bulls,South-West,000 Head,9.5
Number of Livestock in June,2021,Bulls,Dublin and Mid-East,000 Head,3.8
Number of Livestock in June,2021,Bulls,Midland,000 Head,5.6
Number of Livestock in June,2021,Cattle: 2 years and over,Border,000 Head,75.2
Number of Livestock in June,2021,Cattle: 2 years and over,West,000 Head,116.4
Number of Livestock in June,2021,Cattle: 2 years and over,Mid-West,000 Head,145.5
Number of Livestock in June,2021,Cattle: 2 years and over,South-East,000 Head,80.7
Number of Livestock in June,2021,Cattle: 2 years and over,South-West,000 Head,95
Number of Livestock in June,2021,Cattle: 2 years and over,Dublin and Mid-East,000 Head,100.7
Number of Livestock in June,2021,Cattle: 2 years and over,Midland,000 Head,104.6
Number of Livestock in June,2021,Cattle: 1-2 years,Border,000 Head,209.4
Number of Livestock in June,2021,Cattle: 1-2 years,West,000 Head,253.7
Number of Livestock in June,2021,Cattle: 1-2 years,Mid-West,000 Head,377.3
Number of Livestock in June,2021,Cattle: 1-2 years,South-East,000 Head,278.3
Number of Livestock in June,2021,Cattle: 1-2 years,South-West,000 Head,323.1
Number of Livestock in June,2021,Cattle: 1-2 years,Dublin and Mid-East,000 Head,200.3
Number of Livestock in June,2021,Cattle: 1-2 years,Midland,000 Head,257.6
Number of Livestock in June,2021,Cattle: under 1 year,Border,000 Head,249.1
Number of Livestock in June,2021,Cattle: under 1 year,West,000 Head,285
Number of Livestock in June,2021,Cattle: under 1 year,Mid-West,000 Head,437.9
Number of Livestock in June,2021,Cattle: under 1 year,South-East,000 Head,304.9
Number of Livestock in June,2021,Cattle: under 1 year,South-West,000 Head,422.4
Number of Livestock in June,2021,Cattle: under 1 year,Dublin and Mid-East,000 Head,191.3
Number of Livestock in June,2021,Cattle: under 1 year,Midland,000 Head,255.2
