STATISTIC Label,Year,Type of Animal,Region,UNIT,VALUE
Number of Livestock in June,2015,Dairy cows,Border,000 Head,99.2
Number of Livestock in June,2015,Dairy cows,West,000 Head,55.8
Number of Livestock in June,2015,Dairy cows,Mid-West,000 Head,286.6
Number of Livestock in June,2015,Dairy cows,South-East,000 Head,219.6
Number of Livestock in June,2015,Dairy cows,South-West,000 Head,437.4
Number of Livestock in June,2015,Dairy cows,Dublin and Mid-East,000 Head,103.9
Number of Livestock in June,2015,Dairy cows,Midland,000 Head,93.3
Number of Livestock in June,2015,Other cows,Border,000 Head,177.6
Number of Livestock in June,2015,Other cows,West,000 Head,241.9
Number of Livestock in June,2015,Other cows,Mid-West,000 Head,176.5
Number of Livestock in June,2015,Other cows,South-East,000 Head,115.3
Number of Livestock in June,2015,Other cows,South-West,000 Head,128.7
Number of Livestock in June,2015,Other cows,Dublin and Mid-East,000 Head,99.3
Number of Livestock in June,2015,Other cows,Midland,000 Head,136.5
Number of Livestock in June,2015,Bulls,Border,000 Head,8.5
Number of Livestock in June,2015,Bulls,West,000 Head,9.6
Number of Livestock in June,2015,Bulls,Mid-West,000 Head,10.3
Number of Livestock in June,2015,Bulls,South-East,000 Head,6.4
Number of Livestock in June,2015,Bulls,South-West,000 Head,10.3
Number of Livestock in June,2015,Bulls,Dublin and Mid-East,000 Head,4.5
Number of Livestock in June,2015,Bulls,Midland,000 Head,6
Number of Livestock in June,2015,Cattle: 2 years and over,Border,000 Head,82.6
Number of Livestock in June,2015,Cattle: 2 years and over,West,000 Head,121.4
Number of Livestock in June,2015,Cattle: 2 years and over,Mid-West,000 Head,158.9
Number of Livestock in June,2015,Cattle: 2 years and over,South-East,000 Head,98.2
Number of Livestock in June,2015,Cattle: 2 years and over,South-West,000 Head,115.5
Number of Livestock in June,2015,Cattle: 2 years and over,Dublin and Mid-East,000 Head,108.9
Number of Livestock in June,2015,Cattle: 2 years and over,Midland,000 Head,116.3
Number of Livestock in June,2015,Cattle: 1-2 years,Border,000 Head,182.7
Number of Livestock in June,2015,Cattle: 1-2 years,West,000 Head,216.8
Number of Livestock in June,2015,Cattle: 1-2 years,Mid-West,000 Head,323.2
Number of Livestock in June,2015,Cattle: 1-2 years,South-East,000 Head,260.3
Number of Livestock in June,2015,Cattle: 1-2 years,South-West,000 Head,306.6
Number of Livestock in June,2015,Cattle: 1-2 years,Dublin and Mid-East,000 Head,179.4
Number of Livestock in June,2015,Cattle: 1-2 years,Midland,000 Head,223.2
Number of Livestock in June,2015,Cattle: under 1 year,Border,000 Head,243
Number of Livestock in June,2015,Cattle: under 1 year,West,000 Head,284.7
Number of Livestock in June,2015,Cattle: under 1 year,Mid-West,000 Head,402.8
Number of Livestock in June,2015,Cattle: under 1 year,South-East,000 Head,292.9
Number of Livestock in June,2015,Cattle: under 1 year,South-West,000 Head,400.6
Number of Livestock in June,2015,Cattle: under 1 year,Dublin and Mid-East,000 Head,182.4
Number of Livestock in June,2015,Cattle: under 1 year,Midland,000 Head,235.8
Number of Livestock in June,2016,Dairy cows,Border,000 Head,104.8
Number of Livestock in June,2016,Dairy cows,West,000 Head,60.1
Number of Livestock in June,2016,Dairy cows,Mid-West,000 Head,307.5
Number of Livestock in June,2016,Dairy cows,South-East,000 Head,242.2
Number of Livestock in June,2016,Dairy cows,South-West,000 Head,465.1
Number of Livestock in June,2016,Dairy cows,Dublin and Mid-East,000 Head,113.6
Number of Livestock in June,2016,Dairy cows,Midland,000 Head,104.6
