"STATISTIC Label","Year","Type of Animal","Region","UNIT","VALUE"
"Number of Livestock in June","2014","Total cattle","South-East","000 Head","1322"
"Number of Livestock in June","2014","Total cattle","South-West","000 Head","1389.4"
"Number of Livestock in June","2014","Total sheep","Border","000 Head","1108.4"
"Number of Livestock in June","2014","Total sheep","Midland","000 Head","312.1"
"Number of Livestock in June","2014","Total sheep","West","000 Head","1355.6"
"Number of Livestock in June","2014","Total sheep","Dublin plus Mid East","000 Head","779.4"
"Number of Livestock in June","2014","Total sheep","Mid-West","000 Head","123.7"
"Number of Livestock in June","2014","Total sheep","South-East","000 Head","683.4"
"Number of Livestock in June","2014","Total sheep","South-West","000 Head","734.2"
"Number of Livestock in June","2014","Total pigs","Border","000 Head","407.8"
"Number of Livestock in June","2014","Total pigs","Midland","000 Head","290.4"
"Number of Livestock in June","2014","Total pigs","West","000 Head","45.4"
"Number of Livestock in June","2014","Total pigs","Dublin plus Mid East","000 Head","83.3"
"Number of Livestock in June","2014","Total pigs","Mid-West","000 Head","95.9"
"Number of Livestock in June","2014","Total pigs","South-East","000 Head","322.8"
"Number of Livestock in June","2014","Total pigs","South-West","000 Head","309.8"
"Number of Livestock in June","2014","Total horses and ponies","Border","000 Head","11.3"
"Number of Livestock in June","2014","Total horses and ponies","Midland","000 Head","10"
"Number of Livestock in June","2014","Total horses and ponies","West","000 Head","17.9"
"Number of Livestock in June","2014","Total horses and ponies","Dublin plus Mid East","000 Head","15.3"
"Number of Livestock in June","2014","Total horses and ponies","Mid-West","000 Head","11.6"
"Number of Livestock in June","2014","Total horses and ponies","South-East","000 Head","15.4"
"Number of Livestock in June","2014","Total horses and ponies","South-West","000 Head","13.5"
"Number of Livestock in June","2014","Total mules, jennets and asses","Border","000 Head","1.8"
"Number of Livestock in June","2014","Total mules, jennets and asses","Midland","000 Head","0.5"
"Number of Livestock in June","2014","Total mules, jennets and asses","West","000 Head","2.5"
"Number of Livestock in June","2014","Total mules, jennets and asses","Dublin plus Mid East","000 Head","0.3"
"Number of Livestock in June","2014","Total mules, jennets and asses","Mid-West","000 Head","1.7"
"Number of Livestock in June","2014","Total mules, jennets and asses","South-East","000 Head","0.6"
"Number of Livestock in June","2014","Total mules, jennets and asses","South-West","000 Head","0.8"
"Number of Livestock in June","2014","Total goats","Border","000 Head","1.6"
"Number of Livestock in June","2014","Total goats","Midland","000 Head","0.9"
"Number of Livestock in June","2014","Total goats","West","000 Head","1.9"
"Number of Livestock in June","2014","Total goats","Dublin plus Mid East","000 Head","1.3"
"Number of Livestock in June","2014","Total goats","Mid-West","000 Head","0.9"
"Number of Livestock in June","2014","Total goats","South-East","000 Head","0.9"
"Number of Livestock in June","2014","Total goats","South-West","000 Head","0.9"
