"STATISTIC Label","Year","Type of Animal","Region","UNIT","VALUE"
"Number of Livestock in June","2006","Total mules, jennets and asses","South-West","000 Head","1.5"
"Number of Livestock in June","2006","Total goats","Border","000 Head","1"
"Number of Livestock in June","2006","Total goats","Midland","000 Head","1"
"Number of Livestock in June","2006","Total goats","West","000 Head","1.2"
"Number of Livestock in June","2006","Total goats","Dublin plus Mid East","000 Head","1.5"
"Number of Livestock in June","2006","Total goats","Mid-West","000 Head","0.7"
"Number of Livestock in June","2006","Total goats","South-East","000 Head","0.6"
"Number of Livestock in June","2006","Total goats","South-West","000 Head","0.7"
"Number of Livestock in June","2007","Total cattle","Border","000 Head","921.1"
"Number of Livestock in June","2007","Total cattle","Midland","000 Head","801"
"Number of Livestock in June","2007","Total cattle","West","000 Head","981.2"
"Number of Livestock in June","2007","Total cattle","Dublin plus Mid East","000 Head","581.9"
"Number of Livestock in June","2007","Total cattle","Mid-West","000 Head","1016.5"
"Number of Livestock in June","2007","Total cattle","South-East","000 Head","1243.4"
"Number of Livestock in June","2007","Total cattle","South-West","000 Head","1345.8"
"Number of Livestock in June","2007","Total sheep","Border","000 Head","1073.5"
"Number of Livestock in June","2007","Total sheep","Midland","000 Head","412.2"
"Number of Livestock in June","2007","Total sheep","West","000 Head","1481.6"
"Number of Livestock in June","2007","Total sheep","Dublin plus Mid East","000 Head","805.9"
"Number of Livestock in June","2007","Total sheep","Mid-West","000 Head","162.2"
"Number of Livestock in June","2007","Total sheep","South-East","000 Head","892.8"
"Number of Livestock in June","2007","Total sheep","South-West","000 Head","693.3"
"Number of Livestock in June","2007","Total pigs","Border","000 Head","468.3"
"Number of Livestock in June","2007","Total pigs","Midland","000 Head","221.6"
"Number of Livestock in June","2007","Total pigs","West","000 Head","54.6"
"Number of Livestock in June","2007","Total pigs","Dublin plus Mid East","000 Head","80.3"
"Number of Livestock in June","2007","Total pigs","Mid-West","000 Head","94.1"
"Number of Livestock in June","2007","Total pigs","South-East","000 Head","316.3"
"Number of Livestock in June","2007","Total pigs","South-West","000 Head","352.6"
"Number of Livestock in June","2007","Total horses and ponies","Border","000 Head","10.1"
"Number of Livestock in June","2007","Total horses and ponies","Midland","000 Head","7.4"
"Number of Livestock in June","2007","Total horses and ponies","West","000 Head","16.3"
"Number of Livestock in June","2007","Total horses and ponies","Dublin plus Mid East","000 Head","13.7"
"Number of Livestock in June","2007","Total horses and ponies","Mid-West","000 Head","14.2"
"Number of Livestock in June","2007","Total horses and ponies","South-East","000 Head","16.4"
"Number of Livestock in June","2007","Total horses and ponies","South-West","000 Head","11.1"
"Number of Livestock in June","2007","Total mules, jennets and asses","Border","000 Head","1.7"
"Number of Livestock in June","2007","Total mules, jennets and asses","Midland","000 Head","0.4"
"Number of Livestock in June","2007","Total mules, jennets and asses","West","000 Head","1.9"
"Number of Livestock in June","2007","Total mules, jennets and asses","Dublin plus Mid East","000 Head","0.5"
"Number of Livestock in June","2007","Total mules, jennets and asses","Mid-West","000 Head","0.8"
"Number of Livestock in June","2007","Total mules, jennets and asses","South-East","000 Head","0.6"
"Number of Livestock in June","2007","Total mules, jennets and asses","South-West","000 Head","1.4"
"Number of Livestock in June","2007","Total goats","Border","000 Head","1.1"
"Number of Livestock in June","2007","Total goats","Midland","000 Head","0.8"
"Number of Livestock in June","2007","Total goats","West","000 Head","1.3"
"Number of Livestock in June","2007","Total goats","Dublin plus Mid East","000 Head","1"
"Number of Livestock in June","2007","Total goats","Mid-West","000 Head","0.8"
"Number of Livestock in June","2007","Total goats","South-East","000 Head","0.8"
"Number of Livestock in June","2007","Total goats","South-West","000 Head","1.4"
"Number of Livestock in June","2008","Total cattle","Border","000 Head","918.3"
"Number of Livestock in June","2008","Total cattle","Midland","000 Head","799"
"Number of Livestock in June","2008","Total cattle","West","000 Head","985.2"
"Number of Livestock in June","2008","Total cattle","Dublin plus Mid East","000 Head","574.5"
"Number of Livestock in June","2008","Total cattle","Mid-West","000 Head","1024.9"
"Number of Livestock in June","2008","Total cattle","South-East","000 Head","1241.5"
"Number of Livestock in June","2008","Total cattle","South-West","000 Head","1358.6"
"Number of Livestock in June","2008","Total sheep","Border","000 Head","993.6"
"Number of Livestock in June","2008","Total sheep","Midland","000 Head","361.6"
"Number of Livestock in June","2008","Total sheep","West","000 Head","1358.7"
"Number of Livestock in June","2008","Total sheep","Dublin plus Mid East","000 Head","761"
"Number of Livestock in June","2008","Total sheep","Mid-West","000 Head","144.6"
"Number of Livestock in June","2008","Total sheep","South-East","000 Head","776.7"
"Number of Livestock in June","2008","Total sheep","South-West","000 Head","665.2"
"Number of Livestock in June","2008","Total pigs","Border","000 Head","443.2"
"Number of Livestock in June","2008","Total pigs","Midland","000 Head","174.1"
"Number of Livestock in June","2008","Total pigs","West","000 Head","48.6"
"Number of Livestock in June","2008","Total pigs","Dublin plus Mid East","000 Head","64.9"
"Number of Livestock in June","2008","Total pigs","Mid-West","000 Head","80.1"
"Number of Livestock in June","2008","Total pigs","South-East","000 Head","302.1"
"Number of Livestock in June","2008","Total pigs","South-West","000 Head","349.1"
"Number of Livestock in June","2008","Total horses and ponies","Border","000 Head","10.7"
"Number of Livestock in June","2008","Total horses and ponies","Midland","000 Head","7.4"
"Number of Livestock in June","2008","Total horses and ponies","West","000 Head","17.3"
"Number of Livestock in June","2008","Total horses and ponies","Dublin plus Mid East","000 Head","13.6"
"Number of Livestock in June","2008","Total horses and ponies","Mid-West","000 Head","15.4"
"Number of Livestock in June","2008","Total horses and ponies","South-East","000 Head","19.7"
"Number of Livestock in June","2008","Total horses and ponies","South-West","000 Head","11.8"
"Number of Livestock in June","2008","Total mules, jennets and asses","Border","000 Head","2.1"
"Number of Livestock in June","2008","Total mules, jennets and asses","Midland","000 Head","0.6"
"Number of Livestock in June","2008","Total mules, jennets and asses","West","000 Head","2.6"
"Number of Livestock in June","2008","Total mules, jennets and asses","Dublin plus Mid East","000 Head","0.3"
"Number of Livestock in June","2008","Total mules, jennets and asses","Mid-West","000 Head","0.8"
"Number of Livestock in June","2008","Total mules, jennets and asses","South-East","000 Head","0.7"
"Number of Livestock in June","2008","Total mules, jennets and asses","South-West","000 Head","1.7"
"Number of Livestock in June","2008","Total goats","Border","000 Head","1.3"
"Number of Livestock in June","2008","Total goats","Midland","000 Head","0.4"
"Number of Livestock in June","2008","Total goats","West","000 Head","1.5"
"Number of Livestock in June","2008","Total goats","Dublin plus Mid East","000 Head","0.9"
"Number of Livestock in June","2008","Total goats","Mid-West","000 Head","0.8"
"Number of Livestock in June","2008","Total goats","South-East","000 Head","1"
"Number of Livestock in June","2008","Total goats","South-West","000 Head","2.9"
"Number of Livestock in June","2009","Total cattle","Border","000 Head","908.7"
"Number of Livestock in June","2009","Total cattle","Midland","000 Head","798.9"
"Number of Livestock in June","2009","Total cattle","West","000 Head","968.2"
"Number of Livestock in June","2009","Total cattle","Dublin plus Mid East","000 Head","576.3"
"Number of Livestock in June","2009","Total cattle","Mid-West","000 Head","1017"
"Number of Livestock in June","2009","Total cattle","South-East","000 Head","1256.6"
"Number of Livestock in June","2009","Total cattle","South-West","000 Head","1365.1"
"Number of Livestock in June","2009","Total sheep","Border","000 Head","976.3"
"Number of Livestock in June","2009","Total sheep","Midland","000 Head","340.9"
"Number of Livestock in June","2009","Total sheep","West","000 Head","1242.2"
"Number of Livestock in June","2009","Total sheep","Dublin plus Mid East","000 Head","709.4"
