"Statistic Label","Region","Type of Animal","Year","UNIT","VALUE"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Total mules, jennets and asses","2000","000 Head","0.3"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Total mules, jennets and asses","2001","000 Head","0.3"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Total mules, jennets and asses","2002","000 Head","0.3"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Total mules, jennets and asses","2003","000 Head","0.3"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Total mules, jennets and asses","2004","000 Head","0.4"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Total goats","1991","000 Head","1.7"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Total goats","1992","000 Head","1.7"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Total goats","1993","000 Head","1.7"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Total goats","1994","000 Head","1.6"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Total goats","1995","000 Head","1.4"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Total goats","1996","000 Head","1.3"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Total goats","1997","000 Head","1.3"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Total goats","1998","000 Head","1.3"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Total goats","1999","000 Head","1.4"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Total goats","2000","000 Head","0.5"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Total goats","2001","000 Head","0.3"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Total goats","2002","000 Head","0.3"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Total goats","2003","000 Head","1.2"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Total goats","2004","000 Head","1.2"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total cattle","1991","000 Head","999.9"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total cattle","1992","000 Head","1012"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total cattle","1993","000 Head","1012.8"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total cattle","1994","000 Head","1010.4"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total cattle","1995","000 Head","1013.2"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total cattle","1996","000 Head","1071.6"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total cattle","1997","000 Head","1098.7"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total cattle","1998","000 Head","1122.9"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total cattle","1999","000 Head","1060"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total cattle","2000","000 Head","1023"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total cattle","2001","000 Head","1049.8"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total cattle","2002","000 Head","1031.6"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total cattle","2003","000 Head","1048.6"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total cattle","2004","000 Head","1061.3"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total sheep","1991","000 Head","375.3"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total sheep","1992","000 Head","376.9"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total sheep","1993","000 Head","358.9"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total sheep","1994","000 Head","347.4"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total sheep","1995","000 Head","350.1"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total sheep","1996","000 Head","310.1"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total sheep","1997","000 Head","316"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total sheep","1998","000 Head","322.8"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total sheep","1999","000 Head","309.8"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total sheep","2000","000 Head","270.7"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total sheep","2001","000 Head","251.2"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total sheep","2002","000 Head","248"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total sheep","2003","000 Head","223.6"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total sheep","2004","000 Head","212.7"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total pigs","1991","000 Head","89.7"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total pigs","1992","000 Head","84"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total pigs","1993","000 Head","94.2"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total pigs","1994","000 Head","86.4"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total pigs","1995","000 Head","85"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total pigs","1996","000 Head","81"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total pigs","1997","000 Head","98"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total pigs","1998","000 Head","110.1"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total pigs","1999","000 Head","111"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total pigs","2000","000 Head","116"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total pigs","2001","000 Head","100.7"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total pigs","2002","000 Head","85.8"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total pigs","2003","000 Head","110.7"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total pigs","2004","000 Head","111.5"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total horses and ponies","1991","000 Head","8.6"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total horses and ponies","1992","000 Head","8.7"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total horses and ponies","1993","000 Head","9"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total horses and ponies","1994","000 Head","9"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total horses and ponies","1995","000 Head","9.7"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total horses and ponies","1996","000 Head","9.4"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total horses and ponies","1997","000 Head","9.7"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total horses and ponies","1998","000 Head","9.9"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total horses and ponies","1999","000 Head","10.3"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total horses and ponies","2000","000 Head","9.3"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total horses and ponies","2001","000 Head","9.1"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total horses and ponies","2002","000 Head","9.3"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total horses and ponies","2003","000 Head","10.5"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total horses and ponies","2004","000 Head","10.8"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total mules, jennets and asses","1991","000 Head","0.9"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total mules, jennets and asses","1992","000 Head","1"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total mules, jennets and asses","1993","000 Head","1.1"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total mules, jennets and asses","1994","000 Head","1.1"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total mules, jennets and asses","1995","000 Head","0.9"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total mules, jennets and asses","1996","000 Head","1"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total mules, jennets and asses","1997","000 Head","0.8"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total mules, jennets and asses","1998","000 Head","0.9"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total mules, jennets and asses","1999","000 Head","0.9"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total mules, jennets and asses","2000","000 Head","0.6"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total mules, jennets and asses","2001","000 Head","0.7"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total mules, jennets and asses","2002","000 Head","0.6"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total mules, jennets and asses","2003","000 Head","0.6"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total mules, jennets and asses","2004","000 Head","0.7"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total goats","1991","000 Head","2.1"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total goats","1992","000 Head","2.2"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total goats","1993","000 Head","2.5"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total goats","1994","000 Head","2.1"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total goats","1995","000 Head","2.5"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total goats","1996","000 Head","2.5"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total goats","1997","000 Head","2.4"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total goats","1998","000 Head","2.4"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total goats","1999","000 Head","1.8"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total goats","2000","000 Head","1.7"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total goats","2001","000 Head","1.9"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total goats","2002","000 Head","1.8"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total goats","2003","000 Head","0.9"
"Number of Livestock in June (1991 - 2004)","Mid-West","Total goats","2004","000 Head","0.8"
"Number of Livestock in June (1991 - 2004)","South-East","Total cattle","1991","000 Head","1254.6"
"Number of Livestock in June (1991 - 2004)","South-East","Total cattle","1992","000 Head","1251.6"
"Number of Livestock in June (1991 - 2004)","South-East","Total cattle","1993","000 Head","1259.4"
"Number of Livestock in June (1991 - 2004)","South-East","Total cattle","1994","000 Head","1275.8"
"Number of Livestock in June (1991 - 2004)","South-East","Total cattle","1995","000 Head","1267.5"
"Number of Livestock in June (1991 - 2004)","South-East","Total cattle","1996","000 Head","1314.4"
"Number of Livestock in June (1991 - 2004)","South-East","Total cattle","1997","000 Head","1326.4"
"Number of Livestock in June (1991 - 2004)","South-East","Total cattle","1998","000 Head","1337.8"
"Number of Livestock in June (1991 - 2004)","South-East","Total cattle","1999","000 Head","1323.8"
"Number of Livestock in June (1991 - 2004)","South-East","Total cattle","2000","000 Head","1266"
"Number of Livestock in June (1991 - 2004)","South-East","Total cattle","2001","000 Head","1257.1"
"Number of Livestock in June (1991 - 2004)","South-East","Total cattle","2002","000 Head","1242.7"
"Number of Livestock in June (1991 - 2004)","South-East","Total cattle","2003","000 Head","1202.4"
"Number of Livestock in June (1991 - 2004)","South-East","Total cattle","2004","000 Head","1240.8"
"Number of Livestock in June (1991 - 2004)","South-East","Total sheep","1991","000 Head","1775.7"
"Number of Livestock in June (1991 - 2004)","South-East","Total sheep","1992","000 Head","1766.4"
"Number of Livestock in June (1991 - 2004)","South-East","Total sheep","1993","000 Head","1707.2"
"Number of Livestock in June (1991 - 2004)","South-East","Total sheep","1994","000 Head","1678.6"
"Number of Livestock in June (1991 - 2004)","South-East","Total sheep","1995","000 Head","1616.1"
"Number of Livestock in June (1991 - 2004)","South-East","Total sheep","1996","000 Head","1491.4"
"Number of Livestock in June (1991 - 2004)","South-East","Total sheep","1997","000 Head","1529.9"
"Number of Livestock in June (1991 - 2004)","South-East","Total sheep","1998","000 Head","1547.4"
"Number of Livestock in June (1991 - 2004)","South-East","Total sheep","1999","000 Head","1548.5"
"Number of Livestock in June (1991 - 2004)","South-East","Total sheep","2000","000 Head","1347.2"
"Number of Livestock in June (1991 - 2004)","South-East","Total sheep","2001","000 Head","1277.9"
"Number of Livestock in June (1991 - 2004)","South-East","Total sheep","2002","000 Head","1249.9"
"Number of Livestock in June (1991 - 2004)","South-East","Total sheep","2003","000 Head","1134.3"
"Number of Livestock in June (1991 - 2004)","South-East","Total sheep","2004","000 Head","1154.1"
"Number of Livestock in June (1991 - 2004)","South-East","Total pigs","1991","000 Head","276.1"
"Number of Livestock in June (1991 - 2004)","South-East","Total pigs","1992","000 Head","305"
"Number of Livestock in June (1991 - 2004)","South-East","Total pigs","1993","000 Head","323.3"
"Number of Livestock in June (1991 - 2004)","South-East","Total pigs","1994","000 Head","317.1"
"Number of Livestock in June (1991 - 2004)","South-East","Total pigs","1995","000 Head","329.1"
"Number of Livestock in June (1991 - 2004)","South-East","Total pigs","1996","000 Head","351.8"
"Number of Livestock in June (1991 - 2004)","South-East","Total pigs","1997","000 Head","370.2"
"Number of Livestock in June (1991 - 2004)","South-East","Total pigs","1998","000 Head","376.3"
"Number of Livestock in June (1991 - 2004)","South-East","Total pigs","1999","000 Head","373.2"
"Number of Livestock in June (1991 - 2004)","South-East","Total pigs","2000","000 Head","333.4"
"Number of Livestock in June (1991 - 2004)","South-East","Total pigs","2001","000 Head","329.5"
"Number of Livestock in June (1991 - 2004)","South-East","Total pigs","2002","000 Head","364.9"
"Number of Livestock in June (1991 - 2004)","South-East","Total pigs","2003","000 Head","336"
"Number of Livestock in June (1991 - 2004)","South-East","Total pigs","2004","000 Head","329.4"
"Number of Livestock in June (1991 - 2004)","South-East","Total horses and ponies","1991","000 Head","15.7"
"Number of Livestock in June (1991 - 2004)","South-East","Total horses and ponies","1992","000 Head","15.6"
"Number of Livestock in June (1991 - 2004)","South-East","Total horses and ponies","1993","000 Head","15.8"
"Number of Livestock in June (1991 - 2004)","South-East","Total horses and ponies","1994","000 Head","16.4"
"Number of Livestock in June (1991 - 2004)","South-East","Total horses and ponies","1995","000 Head","15.9"
"Number of Livestock in June (1991 - 2004)","South-East","Total horses and ponies","1996","000 Head","16.7"
"Number of Livestock in June (1991 - 2004)","South-East","Total horses and ponies","1997","000 Head","15.7"
"Number of Livestock in June (1991 - 2004)","South-East","Total horses and ponies","1998","000 Head","16.3"
"Number of Livestock in June (1991 - 2004)","South-East","Total horses and ponies","1999","000 Head","16.5"
"Number of Livestock in June (1991 - 2004)","South-East","Total horses and ponies","2000","000 Head","14.2"
"Number of Livestock in June (1991 - 2004)","South-East","Total horses and ponies","2001","000 Head","14.3"
"Number of Livestock in June (1991 - 2004)","South-East","Total horses and ponies","2002","000 Head","14.9"
"Number of Livestock in June (1991 - 2004)","South-East","Total horses and ponies","2003","000 Head","14.6"
"Number of Livestock in June (1991 - 2004)","South-East","Total horses and ponies","2004","000 Head","14.7"
"Number of Livestock in June (1991 - 2004)","South-East","Total mules, jennets and asses","1991","000 Head","0.6"
"Number of Livestock in June (1991 - 2004)","South-East","Total mules, jennets and asses","1992","000 Head","0.7"
"Number of Livestock in June (1991 - 2004)","South-East","Total mules, jennets and asses","1993","000 Head","0.8"
"Number of Livestock in June (1991 - 2004)","South-East","Total mules, jennets and asses","1994","000 Head","0.7"
"Number of Livestock in June (1991 - 2004)","South-East","Total mules, jennets and asses","1995","000 Head","0.6"
"Number of Livestock in June (1991 - 2004)","South-East","Total mules, jennets and asses","1996","000 Head","0.6"
"Number of Livestock in June (1991 - 2004)","South-East","Total mules, jennets and asses","1997","000 Head","0.6"
"Number of Livestock in June (1991 - 2004)","South-East","Total mules, jennets and asses","1998","000 Head","0.6"
"Number of Livestock in June (1991 - 2004)","South-East","Total mules, jennets and asses","1999","000 Head","0.7"
"Number of Livestock in June (1991 - 2004)","South-East","Total mules, jennets and asses","2000","000 Head","0.5"
"Number of Livestock in June (1991 - 2004)","South-East","Total mules, jennets and asses","2001","000 Head","0.4"
"Number of Livestock in June (1991 - 2004)","South-East","Total mules, jennets and asses","2002","000 Head","0.4"
"Number of Livestock in June (1991 - 2004)","South-East","Total mules, jennets and asses","2003","000 Head","0.5"
"Number of Livestock in June (1991 - 2004)","South-East","Total mules, jennets and asses","2004","000 Head","0.5"
"Number of Livestock in June (1991 - 2004)","South-East","Total goats","1991","000 Head","2"
"Number of Livestock in June (1991 - 2004)","South-East","Total goats","1992","000 Head","1.6"
"Number of Livestock in June (1991 - 2004)","South-East","Total goats","1993","000 Head","1.8"
"Number of Livestock in June (1991 - 2004)","South-East","Total goats","1994","000 Head","2"
"Number of Livestock in June (1991 - 2004)","South-East","Total goats","1995","000 Head","1.3"
"Number of Livestock in June (1991 - 2004)","South-East","Total goats","1996","000 Head","1.5"
"Number of Livestock in June (1991 - 2004)","South-East","Total goats","1997","000 Head","1.6"
"Number of Livestock in June (1991 - 2004)","South-East","Total goats","1998","000 Head","1.4"
"Number of Livestock in June (1991 - 2004)","South-East","Total goats","1999","000 Head","1.3"
"Number of Livestock in June (1991 - 2004)","South-East","Total goats","2000","000 Head","0.9"
"Number of Livestock in June (1991 - 2004)","South-East","Total goats","2001","000 Head","1"
"Number of Livestock in June (1991 - 2004)","South-East","Total goats","2002","000 Head","0.9"
"Number of Livestock in June (1991 - 2004)","South-East","Total goats","2003","000 Head","1"
"Number of Livestock in June (1991 - 2004)","South-East","Total goats","2004","000 Head","1.1"
"Number of Livestock in June (1991 - 2004)","South-West","Total cattle","1991","000 Head","1393.4"
"Number of Livestock in June (1991 - 2004)","South-West","Total cattle","1992","000 Head","1406.9"
"Number of Livestock in June (1991 - 2004)","South-West","Total cattle","1993","000 Head","1416.7"
"Number of Livestock in June (1991 - 2004)","South-West","Total cattle","1994","000 Head","1415.8"
"Number of Livestock in June (1991 - 2004)","South-West","Total cattle","1995","000 Head","1427.4"
"Number of Livestock in June (1991 - 2004)","South-West","Total cattle","1996","000 Head","1478.2"
"Number of Livestock in June (1991 - 2004)","South-West","Total cattle","1997","000 Head","1537.2"
"Number of Livestock in June (1991 - 2004)","South-West","Total cattle","1998","000 Head","1542.3"
"Number of Livestock in June (1991 - 2004)","South-West","Total cattle","1999","000 Head","1503.2"
"Number of Livestock in June (1991 - 2004)","South-West","Total cattle","2000","000 Head","1394.7"
"Number of Livestock in June (1991 - 2004)","South-West","Total cattle","2001","000 Head","1448.9"
"Number of Livestock in June (1991 - 2004)","South-West","Total cattle","2002","000 Head","1410.7"
"Number of Livestock in June (1991 - 2004)","South-West","Total cattle","2003","000 Head","1411"
"Number of Livestock in June (1991 - 2004)","South-West","Total cattle","2004","000 Head","1403.5"
"Number of Livestock in June (1991 - 2004)","South-West","Total sheep","1991","000 Head","1130.5"
"Number of Livestock in June (1991 - 2004)","South-West","Total sheep","1992","000 Head","1147.7"
"Number of Livestock in June (1991 - 2004)","South-West","Total sheep","1993","000 Head","1120.1"
"Number of Livestock in June (1991 - 2004)","South-West","Total sheep","1994","000 Head","1059.4"
"Number of Livestock in June (1991 - 2004)","South-West","Total sheep","1995","000 Head","1030.2"
"Number of Livestock in June (1991 - 2004)","South-West","Total sheep","1996","000 Head","988.1"
"Number of Livestock in June (1991 - 2004)","South-West","Total sheep","1997","000 Head","1023.3"
"Number of Livestock in June (1991 - 2004)","South-West","Total sheep","1998","000 Head","1039.5"
"Number of Livestock in June (1991 - 2004)","South-West","Total sheep","1999","000 Head","934.1"
"Number of Livestock in June (1991 - 2004)","South-West","Total sheep","2000","000 Head","919.7"
"Number of Livestock in June (1991 - 2004)","South-West","Total sheep","2001","000 Head","888.8"
"Number of Livestock in June (1991 - 2004)","South-West","Total sheep","2002","000 Head","888.1"
"Number of Livestock in June (1991 - 2004)","South-West","Total sheep","2003","000 Head","869.9"
"Number of Livestock in June (1991 - 2004)","South-West","Total sheep","2004","000 Head","863.3"
"Number of Livestock in June (1991 - 2004)","South-West","Total pigs","1991","000 Head","260.7"
"Number of Livestock in June (1991 - 2004)","South-West","Total pigs","1992","000 Head","275"
"Number of Livestock in June (1991 - 2004)","South-West","Total pigs","1993","000 Head","355.2"
"Number of Livestock in June (1991 - 2004)","South-West","Total pigs","1994","000 Head","349.7"
"Number of Livestock in June (1991 - 2004)","South-West","Total pigs","1995","000 Head","346.4"
"Number of Livestock in June (1991 - 2004)","South-West","Total pigs","1996","000 Head","376.7"
"Number of Livestock in June (1991 - 2004)","South-West","Total pigs","1997","000 Head","420.1"
"Number of Livestock in June (1991 - 2004)","South-West","Total pigs","1998","000 Head","430.4"
"Number of Livestock in June (1991 - 2004)","South-West","Total pigs","1999","000 Head","424.3"
"Number of Livestock in June (1991 - 2004)","South-West","Total pigs","2000","000 Head","414.2"
"Number of Livestock in June (1991 - 2004)","South-West","Total pigs","2001","000 Head","389.8"
"Number of Livestock in June (1991 - 2004)","South-West","Total pigs","2002","000 Head","410.1"
"Number of Livestock in June (1991 - 2004)","South-West","Total pigs","2003","000 Head","362.5"
"Number of Livestock in June (1991 - 2004)","South-West","Total pigs","2004","000 Head","368.8"
"Number of Livestock in June (1991 - 2004)","South-West","Total horses and ponies","1991","000 Head","9.3"
"Number of Livestock in June (1991 - 2004)","South-West","Total horses and ponies","1992","000 Head","9.3"
"Number of Livestock in June (1991 - 2004)","South-West","Total horses and ponies","1993","000 Head","9.4"
"Number of Livestock in June (1991 - 2004)","South-West","Total horses and ponies","1994","000 Head","9.7"
"Number of Livestock in June (1991 - 2004)","South-West","Total horses and ponies","1995","000 Head","9.8"
"Number of Livestock in June (1991 - 2004)","South-West","Total horses and ponies","1996","000 Head","10.1"
"Number of Livestock in June (1991 - 2004)","South-West","Total horses and ponies","1997","000 Head","10.6"
"Number of Livestock in June (1991 - 2004)","South-West","Total horses and ponies","1998","000 Head","10.8"
"Number of Livestock in June (1991 - 2004)","South-West","Total horses and ponies","1999","000 Head","11.4"
"Number of Livestock in June (1991 - 2004)","South-West","Total horses and ponies","2000","000 Head","9.5"
"Number of Livestock in June (1991 - 2004)","South-West","Total horses and ponies","2001","000 Head","9.6"
"Number of Livestock in June (1991 - 2004)","South-West","Total horses and ponies","2002","000 Head","10.2"
"Number of Livestock in June (1991 - 2004)","South-West","Total horses and ponies","2003","000 Head","9.2"
"Number of Livestock in June (1991 - 2004)","South-West","Total horses and ponies","2004","000 Head","9.4"
"Number of Livestock in June (1991 - 2004)","South-West","Total mules, jennets and asses","1991","000 Head","1.2"
"Number of Livestock in June (1991 - 2004)","South-West","Total mules, jennets and asses","1992","000 Head","1.3"
"Number of Livestock in June (1991 - 2004)","South-West","Total mules, jennets and asses","1993","000 Head","1.4"
"Number of Livestock in June (1991 - 2004)","South-West","Total mules, jennets and asses","1994","000 Head","1.2"
"Number of Livestock in June (1991 - 2004)","South-West","Total mules, jennets and asses","1995","000 Head","1.1"
"Number of Livestock in June (1991 - 2004)","South-West","Total mules, jennets and asses","1996","000 Head","1.3"
"Number of Livestock in June (1991 - 2004)","South-West","Total mules, jennets and asses","1997","000 Head","1.1"
"Number of Livestock in June (1991 - 2004)","South-West","Total mules, jennets and asses","1998","000 Head","1.1"
"Number of Livestock in June (1991 - 2004)","South-West","Total mules, jennets and asses","1999","000 Head","1"
"Number of Livestock in June (1991 - 2004)","South-West","Total mules, jennets and asses","2000","000 Head","1.1"
"Number of Livestock in June (1991 - 2004)","South-West","Total mules, jennets and asses","2001","000 Head","1.1"
"Number of Livestock in June (1991 - 2004)","South-West","Total mules, jennets and asses","2002","000 Head","1.2"
"Number of Livestock in June (1991 - 2004)","South-West","Total mules, jennets and asses","2003","000 Head","1.3"
"Number of Livestock in June (1991 - 2004)","South-West","Total mules, jennets and asses","2004","000 Head","1"
"Number of Livestock in June (1991 - 2004)","South-West","Total goats","1991","000 Head","2.6"
"Number of Livestock in June (1991 - 2004)","South-West","Total goats","1992","000 Head","2.8"
"Number of Livestock in June (1991 - 2004)","South-West","Total goats","1993","000 Head","2.6"
"Number of Livestock in June (1991 - 2004)","South-West","Total goats","1994","000 Head","2.5"
"Number of Livestock in June (1991 - 2004)","South-West","Total goats","1995","000 Head","2.4"
"Number of Livestock in June (1991 - 2004)","South-West","Total goats","1996","000 Head","2.2"
"Number of Livestock in June (1991 - 2004)","South-West","Total goats","1997","000 Head","2.3"
"Number of Livestock in June (1991 - 2004)","South-West","Total goats","1998","000 Head","2.2"
"Number of Livestock in June (1991 - 2004)","South-West","Total goats","1999","000 Head","1.9"
"Number of Livestock in June (1991 - 2004)","South-West","Total goats","2000","000 Head","1.2"
"Number of Livestock in June (1991 - 2004)","South-West","Total goats","2001","000 Head","1.1"
"Number of Livestock in June (1991 - 2004)","South-West","Total goats","2002","000 Head","1.1"
"Number of Livestock in June (1991 - 2004)","South-West","Total goats","2003","000 Head","0.8"
"Number of Livestock in June (1991 - 2004)","South-West","Total goats","2004","000 Head","0.7"
